Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Project ID,Project Name,Project Description,Start Date,Completion Date (B1),Planned Project Completion Date (B2),Projected/Actual Project Completion Date (B2),Lifecycle Cost,Schedule Variance (in days),Schedule Variance (%),Cost Variance ($ M),Cost Variance (%),Planned Cost ($ M),Projected/Actual Cost ($ M),Updated Date,Updated Time,Unique Project ID
009-000001422,184,9,Department of Health and Human Services,ACF Expanded Federal Parent Locator Service (OCSE),2206,Electronic Document Exchange,"The Electronic Document Exchange project addresses the development of a secure transport mechanism for states to electronically exchange Child Support Enforcement (CSE) documents like Affidavits of Paternity, Birth Certificates and Court Orders.  The project supports the Office of Child Support Enforcement's (OCSE's) vision of developing an integrated technical infrastructure that leverages new technologies and approaches to reduce program cost by improving electronic exchanges. Pilot is expected in 2012.",20/10/2010,21/08/2012,,,0.441,-10,-1.49,-0.003,-0.68,0.441,0.444,23/07/2012,09:40:58,288661
009-000001422,184,9,Department of Health and Human Services,ACF Expanded Federal Parent Locator Service (OCSE),2207,Passport Denial Online Enhancements,The purpose of this project is to update and expand Passport Denial functionality.           The scope of the enhancements includes: * Allowing state users to view Passport Denial information when a case is closed * Developing a page that allows administrators to select success stories by date range for saving to a local file * Removing Passport Denial type from dropdown list in Comments selection page * Correcting the sorting of Department of State (DoS) details for combined cases.,05/07/2011,07/10/2011,07/10/2011,07/10/2011,0.043,0,0,0.001,2.38,0.042,0.041,26/04/2012,10:50:52,288908
009-000001422,184,9,Department of Health and Human Services,ACF Expanded Federal Parent Locator Service (OCSE),2208,Debt Inquiry Enhancements,"This project, currently in the planning phase, will expand the FPLS Portal Debt Inquiry function to provide an alternative method of receiving files for insurance matching partners and implement application enhancements identified by the pilot users. The cost, schedule and milestone estimates provided are a rough order of magnitude estimate determined at the post-award Integrated Baseline Review for this contract, and are subject to change. A detailed project plan, schedule, and cost estimate will be presented to the FPLS Strategic Planning and Oversight Board prior to commencement of these activities, at which point, additional details will be provided here.",10/10/2011,20/01/2012,20/01/2012,20/01/2012,0.11,0,0,0.002,1.82,0.11,0.108,26/04/2012,10:50:52,288983
009-000001422,184,9,Department of Health and Human Services,ACF Expanded Federal Parent Locator Service (OCSE),2209,E-Employer Search With NDNH,"This project, currently in the planning phase, will enhance the FPLS E-Employer application to provide the capability for authorized state case workers to access employer address information from the National Directory of New Hires (NDNH).  It will include a search by employer name. This project is also dependent on the completion of the NDNH Employer Address to Relational Database Project. The cost, schedule and milestone estimates provided are a rough order of magnitude estimate determined at the post-award Integrated Baseline Review for this contract, and are subject to change.  A detailed project plan, schedule, and cost estimate will be presented to the FPLS Strategic Planning and Oversight Board prior to commencement of these activities, at which point, additional details will be provided here.",04/04/2012,25/10/2012,,,0.258,0,0,-0.001,-0.39,0.258,0.259,23/07/2012,09:40:58,288984
009-000001422,184,9,Department of Health and Human Services,ACF Expanded Federal Parent Locator Service (OCSE),2210,IRG Interface for OCSE Web Redesign,"This project, currently in the planning phase, will modify the IRG data structures to allow citizens easier access to state child support agency contact information from the OCSE website.  The project is dependent on the overall OCSE website redesign project (not part of the FPLS investment), and high level requirements are currently being analyzed.  The cost, schedule and milestone estimates provided are a rough order of magnitude estimate determined at the post-award Integrated Baseline Review for this contract, and are subject to change. A detailed project plan, schedule, and cost estimate will be presented to the FPLS Strategic Planning and Oversight Board prior to commencement of these activities, at which point, additional details will be provided here.",10/10/2011,16/08/2012,,,0.314,-15,-4.82,-0.027,-8.63,0.313,0.34,23/07/2012,09:40:58,288989
009-000001422,184,9,Department of Health and Human Services,ACF Expanded Federal Parent Locator Service (OCSE),2211,NDNH Employer Address to Relational Database,"Identify and implement all of the changes necessary to convert the Employer Address File (EAF) from VSAM to a relational database, and to create an employer name look up table.",27/04/2011,13/07/2012,13/07/2012,13/07/2012,0.332,-49,-11.06,0.028,8.43,0.332,0.304,23/07/2012,09:40:58,288990
009-000001422,184,9,Department of Health and Human Services,ACF Expanded Federal Parent Locator Service (OCSE),2212,DoD Entitlements Interface,"The enhancements to FPLS for this project include:* Allowing state workers to request DoD entitlement data for military and reserve member noncustodial parents (NCPs) that are associated to a military Federal Employer Identification Number (FEIN) on the National Directory of New Hires (NDNH) via the State Services Portal (SSP).* Providing states with a method of receiving DoD entitlement data via the SSP. These enhancements build on existing SSP interfaces with states, which allow state system authorized and authenticated users with secure, role-based access to select FPLS applications. The project supports OCSE's vision by developing an integrated technical infrastructure that leverages new technologies and approaches.",15/12/2010,29/07/2011,29/07/2011,12/07/2011,0.315,17,7.52,-0.001,-0.32,0.315,0.316,26/04/2012,10:50:52,288993
009-000001422,184,9,Department of Health and Human Services,ACF Expanded Federal Parent Locator Service (OCSE),2213,MICRS Release 12.01,"Implement enhancements to the Management Information Central Repository System (MICRS), including:- Retirement and replacement of the legacy database- Capture and report additional Insurance Match data- Redesign of MICRS Federal Case Registry (FCR) reports- Enhancements to the Research System.",22/08/2011,27/02/2012,27/02/2012,02/03/2012,0.301,-4,-2.12,-0.001,-0.33,0.3,0.301,22/05/2012,08:09:34,289318
009-000001422,184,9,Department of Health and Human Services,ACF Expanded Federal Parent Locator Service (OCSE),2214,Move NDNH to Relational Database,"This project, currently in the planning phase, will migrate the NDNH data to a relational database to enhance data quality and response time for real-time access to the data by authorized users. Planned installation is scheduled for January 2013. The cost, schedule and milestone estimates provided are a rough order of magnitude estimate determined at the post-award Integrated Baseline Review for this contract, and are subject to change. A detailed project plan, schedule, and cost estimate will be presented to the FPLS Strategic Planning and Oversight Board prior to commencement of these activities, at which point, additional details will be provided here.",28/10/2011,26/03/2013,,,0.499,0,0,-0.123,-24.65,0.499,0.622,23/07/2012,09:40:58,289341
009-000001422,184,9,Department of Health and Human Services,ACF Expanded Federal Parent Locator Service (OCSE),2217,FSF Portal PIV Card Implementation,This project will implement the FPLS Security Framework application changes necessary to comply with the HHS directive for the implementation of the use of HSPD-12 compliant PIV cards to authenticate federal employees and contractors accessing federal business applications.,06/09/2011,13/01/2012,13/01/2012,13/01/2012,0.178,0,0,0,0,0.177,0.177,26/04/2012,10:50:52,289354
